2023-07-04 09:27:51 status unpacked libsemanage2:amd64 3.4-1+b5
2023-07-04 09:27:51 install libsepol2:amd64 <none> 3.4-2.1
2023-07-04 09:27:51 status half-installed libsepol2:amd64 3.4-2.1
2023-07-04 09:27:52 status unpacked libsepol2:amd64 3.4-2.1
2023-07-04 09:27:52 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2023-07-04 09:27:52 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2023-07-04 09:27:52 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2023-07-04 09:27:52 install libss2:amd64 <none> 1.47.0-2
2023-07-04 09:27:52 status half-installed libss2:amd64 1.47.0-2
2023-07-04 09:27:52 status unpacked libss2:amd64 1.47.0-2
2023-07-04 09:27:52 install libstdc++6:amd64 <none> 12.2.0-14
2023-07-04 09:27:52 status half-installed libstdc++6:amd64 12.2.0-14
2023-07-04 09:27:52 status unpacked libstdc++6:amd64 12.2.0-14
2023-07-04 09:27:52 install libsystemd0:amd64 <none> 252.6-1
2023-07-04 09:27:52 status half-installed libsystemd0:amd64 252.6-1
2023-07-04 09:27:52 status unpacked libsystemd0:amd64 252.6-1
2023-07-04 09:27:52 install libtasn1-6:amd64 <none> 4.19.0-2
2023-07-04 09:27:52 status half-installed libtasn1-6:amd64 4.19.0-2
2023-07-04 09:27:52 status unpacked libtasn1-6:amd64 4.19.0-2
2023-07-04 09:27:52 install libtinfo6:amd64 <none> 6.4-4
2023-07-04 09:27:52 status half-installed libtinfo6:amd64 6.4-4
2023-07-04 09:27:52 status unpacked libtinfo6:amd64 6.4-4
2023-07-04 09:27:52 install libudev1:amd64 <none> 252.6-1
2023-07-04 09:27:52 status half-installed libudev1:amd64 252.6-1
2023-07-04 09:27:52 status unpacked libudev1:amd64 252.6-1
2023-07-04 09:27:52 install libunistring2:amd64 <none> 1.0-2
2023-07-04 09:27:52 status half-installed libunistring2:amd64 1.0-2
2023-07-04 09:27:53 status unpacked libunistring2:amd64 1.0-2
2023-07-04 09:27:53 install libuuid1:amd64 <none> 2.38.1-5+b1
2023-07-04 09:27:53 status half-installed libuuid1:amd64 2.38.1-5+b1
2023-07-04 09:27:53 status unpacked libuuid1:amd64 2.38.1-5+b1
2023-07-04 09:27:53 install libxxhash0:amd64 <none> 0.8.1-1
2023-07-04 09:27:53 status half-installed libxxhash0:amd64 0.8.1-1
2023-07-04 09:27:53 status unpacked libxxhash0:amd64 0.8.1-1
2023-07-04 09:27:53 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2023-07-04 09:27:53 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2023-07-04 09:27:53 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2023-07-04 09:27:53 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2023-07-04 09:27:53 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2023-07-04 09:27:53 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2023-07-04 09:27:53 install logsave:amd64 <none> 1.47.0-2
2023-07-04 09:27:53 status half-installed logsave:amd64 1.47.0-2
2023-07-04 09:27:53 status unpacked logsave:amd64 1.47.0-2
2023-07-04 09:27:53 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-07-04 09:27:53 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-07-04 09:27:53 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-07-04 09:27:53 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-07-04 09:27:54 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-07-04 09:27:54 install mount:amd64 <none> 2.38.1-5+b1
2023-07-04 09:27:54 status half-installed mount:amd64 2.38.1-5+b1
2023-07-04 09:27:54 status unpacked mount:amd64 2.38.1-5+b1
2023-07-04 09:27:54 install ncurses-base:all <none> 6.4-4
2023-07-04 09:27:54 status half-installed ncurses-base:all 6.4-4
2023-07-04 09:27:54 status unpacked ncurses-base:all 6.4-4
2023-07-04 09:27:54 install ncurses-bin:amd64 <none> 6.4-4
2023-07-04 09:27:54 status half-installed ncurses-bin:amd64 6.4-4
2023-07-04 09:27:54 status unpacked ncurses-bin:amd64 6.4-4
2023-07-04 09:27:54 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2023-07-04 09:27:54 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2023-07-04 09:27:55 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2023-07-04 09:27:55 upgrade perl-base:amd64 5.36.0-7 5.36.0-7
2023-07-04 09:27:55 status half-configured perl-base:amd64 5.36.0-7
2023-07-04 09:27:55 status unpacked perl-base:amd64 5.36.0-7
2023-07-04 09:27:55 status half-installed perl-base:amd64 5.36.0-7
2023-07-04 09:27:56 status unpacked perl-base:amd64 5.36.0-7
2023-07-04 09:27:57 install sed:amd64 <none> 4.9-1
2023-07-04 09:27:57 status half-installed sed:amd64 4.9-1
2023-07-04 09:27:57 status unpacked sed:amd64 4.9-1
2023-07-04 09:27:57 install sysvinit-utils:amd64 <none> 3.06-4
2023-07-04 09:27:57 status half-installed sysvinit-utils:amd64 3.06-4
2023-07-04 09:27:57 status unpacked sysvinit-utils:amd64 3.06-4
2023-07-04 09:27:57 install tar:amd64 <none> 1.34+dfsg-1.2
2023-07-04 09:27:57 status half-installed tar:amd64 1.34+dfsg-1.2
